year,prize,country,gender,firstName,lastName,medalCount,affiliation,,,,,,,,,,,,,,,,,,,
1993,Chemistry,Canada,Male,Michael,Smith,1,University of British Columbia,,,,,,,,,,,,,,,,,,,
1990,Physics,Canada,Male,Richard E.,Taylor,1,Stanford University,,,,,,,,,,,,,,,,,,,
1989,Chemistry,Canada,Male,Sidney,Altman,1,Yale University,,,,,,,,,,,,,,,,,,,
1986,Chemistry,Canada,Male,John C.,Polanyi,1,University of Toronto,,,,,,,,,,,,,,,,,,,
1971,Chemistry,Canada,Male,Gerhard,Herzberg,1,National Research Council of Canada,,,,,,,,,,,,,,,,,,,
1957,Peace,Canada,Male,Office of the United Nations High Commissioner for Refugees,,1,,,,,,,,,,,,,,,,,,,,
1923,Physiology or Medicine,Canada,Male,Frederick G.,Banting,1,University of Toronto,,,,,,,,,,,,,,,,,,,
1923,Physiology or Medicine,Canada,Male,John,Macleod,1,University of Toronto,,,,,,,,,,,,,,,,,,,
1971,Literature,Chile,Male,Pablo,Neruda,1,,,,,,,,,,,,,,,,,,,,
1945,Literature,Chile,Female,Gabriela,Mistral,1,,,,,,,,,,,,,,,,,,,,
1901,,China,,,,0,,,,,,,,,,,,,,,,,,,,
2015,Physiology or Medicine,China,Female,Youyou,Tu,1,China Academy of Traditional Chinese Medicine,,,,,,,,,,,,,,,,,,,
2012,Literature,China,Male,Mo,Yan,1,,,,,,,,,,,,,,,,,,,,
2010,Chemistry,China,Male,Ei-ichi,Negishi,1,Purdue University,,,,,,,,,,,,,,,,,,,
2010,Peace,China,Male,Barack,Obama,1,,,,,,,,,,,,,,,,,,,,
1978,,China,,,,4,,,,,,,,,,,,,,,,,,,,
2009,Physics,China,Male,Charles K.,Kao,1,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,
1989,Peace,China,Male,United Nations Peacekeeping Forces,,1,,,,,,,,,,,,,,,,,,,,
1957,Physics,China,Male,Tsung-Dao,Lee,1,Columbia University,,,,,,,,,,,,,,,,,,,
1957,Physics,China,Male,Chen Ning,Yang,1,Institute for Advanced Study,,,,,,,,,,,,,,,,,,,
1982,Literature,Colombia,Male,Gabriel García,Márquez,1,,,,,,,,,,,,,,,,,,,,
1987,Peace,Costa Rica,Male,Elie,Wiesel,1,,,,,,,,,,,,,,,,,,,,
2010,Economics,Cyprus,Male,Christopher A.,Pissarides,1,London School of Economics and Political Science,,,,,,,,,,,,,,,,,,,
1984,Literature,Czechoslovakia,Male,Jaroslav,Seifert,1,,,,,,,,,,,,,,,,,,,,
1959,Chemistry,Czechoslovakia,Male,Jaroslav,Heyrovsky,1,Polarographic Institute of the Czechoslovak Academy of Science,,,,,,,,,,,,,,,,,,,
1997,Chemistry,Denmark,Male,Jens C.,Skou,1,Aarhus University,,,,,,,,,,,,,,,,,,,
1984,Physiology or Medicine,Denmark,Male,Niels K.,Jerne,1,Basel Institute,,,,,,,,,,,,,,,,,,,
1975,Physics,Denmark,Male,Aage N.,Bohr,1,Niels Bohr Institute,,,,,,,,,,,,,,,,,,,
1975,Physics,Denmark,Male,Ben R.,Mottelson,1,Nordita,,,,,,,,,,,,,,,,,,,
1944,Literature,Denmark,Male,Johannes V.,Jensen,1,,,,,,,,,,,,,,,,,,,,
1943,Physiology or Medicine,Denmark,Male,Henrik,Dam,1,Polytechnic Institute,,,,,,,,,,,,,,,,,,,
1926,Physiology or Medicine,Denmark,Male,Johannes,Fibiger,1,Copenhagen University,,,,,,,,,,,,,,,,,,,
1922,Physics,Denmark,Male,Niels,Bohr,1,Copenhagen University,,,,,,,,,,,,,,,,,,,
1920,Physiology or Medicine,Denmark,Male,August,Krogh,1,Copenhagen University,,,,,,,,,,,,,,,,,,,
1917,Literature,Denmark,Male,Karl,Gjellerup,1,,,,,,,,,,,,,,,,,,,,
1917,Literature,Denmark,Male,Henrik,Pontoppidan,1,,,,,,,,,,,,,,,,,,,,
1908,Peace,Denmark,Male,Ernesto Teodoro,Moneta,1,,,,,,,,,,,,,,,,,,,,
1903,Physiology or Medicine,Denmark,Male,Niels Ryberg,Finsen,1,Finsen Medical Light Institute,,,,,,,,,,,,,,,,,,,
2005,Peace,Egypt,Male,International Atomic Energy Agency,,1,,,,,,,,,,,,,,,,,,,,
1999,Chemistry,Egypt,Male,Ahmed,Zewail,1,California Institute of Technology (Caltech),,,,,,,,,,,,,,,,,,,
1988,Literature,Egypt,Male,Naguib,Mahfouz,1,,,,,,,,,,,,,,,,,,,,
1978,Peace,Egypt,Male,Menachem,Begin,1,,,,,,,,,,,,,,,,,,,,
2008,Peace,Finland,Male,Albert Arnold (Al),Gore Jr.,1,,,,,,,,,,,,,,,,,,,,
1945,Chemistry,Finland,Male,Artturi,Virtanen,1,Helsinki University,,,,,,,,,,,,,,,,,,,
1939,Literature,Finland,Male,Frans Eemil,Sillanpää,1,,,,,,,,,,,,,,,,,,,,
2014,Economics,France,Male,Jean,Tirole,1,Toulouse University,,,,,,,,,,,,,,,,,,,
2014,Literature,France,Male,Patrick,Modiano,1,,,,,,,,,,,,,,,,,,,,
2012,Physics,France,Male,Serge,Haroche,1,Collège de France,,,,,,,,,,,,,,,,,,,
2011,Physiology or Medicine,France,Male,Jules A.,Hoffmann,1,Centre National de la Recherche Scientifique,,,,,,,,,,,,,,,,,,,
2008,Physiology or Medicine,France,Female,Françoise,Barré-Sinoussi,1,Institut Pasteur,,,,,,,,,,,,,,,,,,,
2008,Physiology or Medicine,France,Male,Luc,Montagnier,1,World Foundation for AIDS Research and Prevention,,,,,,,,,,,,,,,,,,,
2008,Literature,France,Male,Jean-Marie Gustave,Le Clézio,1,,,,,,,,,,,,,,,,,,,,
2007,Physics,France,Male,Albert,Fert,1,Université Paris,,,,,,,,,,,,,,,,,,,
2005,Chemistry,France,Male,Yves,Chauvin,1,Institut Français du Pétrole,,,,,,,,,,,,,,,,,,,
2000,Literature,France,Male,Gao,Xingjian,1,,,,,,,,,,,,,,,,,,,,
1997,Physics,France,Male,Claude,Cohen-Tannoudji,1,Collège de France,,,,,,,,,,,,,,,,,,,
1992,Physics,France,Male,Georges,Charpak,1,CERN,,,,,,,,,,,,,,,,,,,
1991,Physics,France,Male,Pierre-Gilles,de Gennes,1,Collège de France,,,,,,,,,,,,,,,,,,,
1988,Economics,France,Male,Maurice,Allais,1,École Nationale Supérieure,,,,,,,,,,,,,,,,,,,
1987,Chemistry,France,Male,Jean-Marie,Lehn,1,Université Louis Pasteur,,,,,,,,,,,,,,,,,,,
1985,Literature,France,Male,Claude,Simon,1,,,,,,,,,,,,,,,,,,,,
1983,Economics,France,Male,Gerard,Debreu,1,University of California,,,,,,,,,,,,,,,,,,,
1980,Physiology or Medicine,France,Male,Jean,Dausset,1,Université de Paris,,,,,,,,,,,,,,,,,,,
1970,Physics,France,Male,Louis,Néel,1,University of Grenoble,,,,,,,,,,,,,,,,,,,
1968,Peace,France,Male,United Nations Children's Fund,,1,,,,,,,,,,,,,,,,,,,,
1966,Physics,France,Male,Alfred,Kastler,1,École Nationale Supérieure,,,,,,,,,,,,,,,,,,,
1965,Physiology or Medicine,France,Male,François,Jacob,1,Institut Pasteur,,,,,,,,,,,,,,,,,,,
1965,Physiology or Medicine,France,Male,André,Lwoff,1,Institut Pasteur,,,,,,,,,,,,,,,,,,,
1965,Physiology or Medicine,France,Male,Jacques,Monod,1,Institut Pasteur,,,,,,,,,,,,,,,,,,,
1964,Literature,France,Male,Jean-Paul,Sartre,1,,,,,,,,,,,,,,,,,,,,
1960,Literature,France,Male,Saint-John,Perse,1,,,,,,,,,,,,,,,,,,,,
1957,Literature,France,Male,Albert,Camus,1,,,,,,,,,,,,,,,,,,,,
1952,Literature,France,Male,François,Mauriac,1,,,,,,,,,,,,,,,,,,,,
1952,Peace,France,Male,Léon,Jouhaux,1,,,,,,,,,,,,,,,,,,,,
1951,Peace,France,Male,Ralph,Bunche,1,,,,,,,,,,,,,,,,,,,,
1947,Literature,France,Male,André,Gide,1,,,,,,,,,,,,,,,,,,,,
1937,Literature,France,Male,Roger,Martin du Gard,1,,,,,,,,,,,,,,,,,,,,
1935,Chemistry,France,Female,Irène,Joliot-Curie,1,Institut du Radium,,,,,,,,,,,,,,,,,,,
1935,Chemistry,France,Male,Frédéric,Joliot,1,Institut du Radium,,,,,,,,,,,,,,,,,,,
1929,Physics,France,Male,Louis,de Broglie,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1928,Physiology or Medicine,France,Male,Charles,Nicolle,1,,,,,,,,,,,,,,,,,,,,
1927,Literature,France,Male,Henri,Bergson,1,,,,,,,,,,,,,,,,,,,,
1927,Peace,France,Male,Ludwig,Quidde,1,,,,,,,,,,,,,,,,,,,,
1926,Physics,France,Male,Jean Baptiste,Perrin,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1926,Peace,France,Male,Gustav,Stresemann,1,,,,,,,,,,,,,,,,,,,,
1921,Literature,France,Male,Anatole,France,1,,,,,,,,,,,,,,,,,,,,
1920,Peace,France,Male,Woodrow,Wilson,1,,,,,,,,,,,,,,,,,,,,
1915,Literature,France,Male,Romain,Rolland,1,,,,,,,,,,,,,,,,,,,,
1913,Physiology or Medicine,France,Male,Charles,Richet,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1912,Chemistry,France,Male,Victor,Grignard,1,Nancy University,,,,,,,,,,,,,,,,,,,
1912,Physiology or Medicine,France,Male,Alexis,Carrel,1,Rockefeller Institute for Medical Research,,,,,,,,,,,,,,,,,,,
1912,Chemistry,France,Male,Paul,Sabatier,1,Toulouse University,,,,,,,,,,,,,,,,,,,
1911,Chemistry,France,Female,Marie,Curie,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1909,Peace,France,Male,Klas Pontus,Arnoldson,1,,,,,,,,,,,,,,,,,,,,
1908,Physics,France,Male,Gabriel,Lippmann,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1907,Physiology or Medicine,France,Male,Alphonse,Laveran,1,Institut Pasteur,,,,,,,,,,,,,,,,,,,
1907,Peace,France,Male,Theodore,Roosevelt,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1906,Chemistry,France,Male,Henri,Moissan,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1904,Literature,France,Male,Frédéric,Mistral,1,,,,,,,,,,,,,,,,,,,,
1903,Physics,France,Male,Pierre,Curie,1,École Municipale de Physique et de Chimie Industrielles,,,,,,,,,,,,,,,,,,,
1903,Physics,France,Male,Henri,Becquerel,1,École Nationale Supérieure,,,,,,,,,,,,,,,,,,,
1903,Physics,France,Female,Marie,Curie,1,Sorbonne University,,,,,,,,,,,,,,,,,,,
1901,Literature,France,Male,Sully,Prudhomme,1,,,,,,,,,,,,,,,,,,,,
1901,Peace,France,Male,,,1,,,,,,,,,,,,,,,,,,,,
2014,Chemistry,Germany,Male,Stefan W.,Hell,1,Max-Planck Institut,,,,,,,,,,,,,,,,,,,
2013,Physiology or Medicine,Germany,Male,Thomas C.,Südhof,1,Stanford University,,,,,,,,,,,,,,,,,,,
2009,Literature,Germany,Female,Herta,Müller,1,,,,,,,,,,,,,,,,,,,,
2008,Physiology or Medicine,Germany,Male,Harald,zur Hausen,1,German Cancer Research Centre,,,,,,,,,,,,,,,,,,,
2007,Physics,Germany,Male,Peter,Grünberg,1,Forschungszentrum Jülich,,,,,,,,,,,,,,,,,,,
2007,Chemistry,Germany,Male,Gerhard,Ertl,1,Max-Planck Institut,,,,,,,,,,,,,,,,,,,
2005,Physics,Germany,Male,Theodor W.,Hänsch,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
2001,Physics,Germany,Male,Wolfgang,Ketterle,1,Massachusetts Institute of Technology (MIT),,,,,,,,,,,,,,,,,,,
2000,Physics,Germany,Male,Herbert,Kroemer,1,University of California,,,,,,,,,,,,,,,,,,,
1999,Literature,Germany,Male,Günter,Grass,1,,,,,,,,,,,,,,,,,,,,
1998,Physics,Germany,Male,Horst L.,Störmer,1,Columbia University,,,,,,,,,,,,,,,,,,,
1995,Physiology or Medicine,Germany,Female,Christiane,Nüsslein-Volhard,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1994,Economics,Germany,Male,Reinhard,Selten,1,Rheinische Friedrich-Wilhelms-Universität,,,,,,,,,,,,,,,,,,,
1991,Physiology or Medicine,Germany,Male,Erwin,Neher,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1991,Physiology or Medicine,Germany,Male,Bert,Sakmann,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1989,Physics,Germany,Male,Wolfgang,Paul,1,University of Bonn,,,,,,,,,,,,,,,,,,,
1988,Chemistry,Germany,Male,Robert,Huber,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1988,Chemistry,Germany,Male,Hartmut,Michel,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1988,Chemistry,Germany,Male,Johann,Deisenhofer,1,University of Texas Southwestern,,,,,,,,,,,,,,,,,,,
1987,Physics,Germany,Male,J. Georg,Bednorz,1,IBM Zurich Research Laboratory,,,,,,,,,,,,,,,,,,,
1986,Physics,Germany,Male,Gerd,Binnig,1,IBM Zurich Research Laboratory,,,,,,,,,,,,,,,,,,,
1986,Physics,Germany,Male,Ernst,Ruska,1,Max-Planck Institut,,,,,,,,,,,,,,,,,,,
1985,Physics,Germany,Male,Klaus,von Klitzing,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1984,Physiology or Medicine,Germany,Male,Georges J.F.,Köhler,1,Basel Institute,,,,,,,,,,,,,,,,,,,
1979,Chemistry,Germany,Male,Georg,Wittig,1,University of Heidelberg,,,,,,,,,,,,,,,,,,,
1973,Chemistry,Germany,Male,Ernst Otto,Fischer,1,Technical University,,,,,,,,,,,,,,,,,,,
1973,Physiology or Medicine,Germany,Male,Karl,von Frisch,1,Zoologisches Institut der Universität München,,,,,,,,,,,,,,,,,,,
1972,Literature,Germany,Male,Heinrich,Böll,1,,,,,,,,,,,,,,,,,,,,
1971,Peace,Germany,Male,Norman,Borlaug,1,,,,,,,,,,,,,,,,,,,,
1967,Chemistry,Germany,Male,Manfred,Eigen,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1964,Physiology or Medicine,Germany,Male,Feodor,Lynen,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1963,Chemistry,Germany,Male,Karl,Ziegler,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1963,Physics,Germany,Male,J. Hans D.,Jensen,1,University of Heidelberg,,,,,,,,,,,,,,,,,,,
1961,Physics,Germany,Male,Rudolf,Mössbauer,1,Technical University,,,,,,,,,,,,,,,,,,,
1956,Physiology or Medicine,Germany,Male,Werner,Forssmann,1,Mainz University,,,,,,,,,,,,,,,,,,,
1954,Physics,Germany,Male,Walther,Bothe,1,University of Heidelberg,,,,,,,,,,,,,,,,,,,
1953,Chemistry,Germany,Male,Hermann,Staudinger,1,University of Freiburg,,,,,,,,,,,,,,,,,,,
1950,Chemistry,Germany,Male,Kurt,Alder,1,Cologne University,,,,,,,,,,,,,,,,,,,
1950,Chemistry,Germany,Male,Otto,Diels,1,Kiel University,,,,,,,,,,,,,,,,,,,
1944,Chemistry,Germany,Male,Otto,Hahn,1,Max-Planck Institut,,,,,,,,,,,,,,,,,,,
1939,Chemistry,Germany,Male,Adolf,Butenandt,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1939,Physiology or Medicine,Germany,Male,Gerhard,Domagk,1,Munster University,,,,,,,,,,,,,,,,,,,
1938,Chemistry,Germany,Male,Richard,Kuhn,1,University of Heidelberg,,,,,,,,,,,,,,,,,,,
1935,Physiology or Medicine,Germany,Male,Hans,Spemann,1,University of Freiburg,,,,,,,,,,,,,,,,,,,
1935,Peace,Germany,Male,Arthur,Henderson,1,,,,,,,,,,,,,,,,,,,,
1932,Physics,Germany,Male,Werner,Heisenberg,1,Leipzig University,,,,,,,,,,,,,,,,,,,
1931,Physiology or Medicine,Germany,Male,Otto,Warburg,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1931,Chemistry,Germany,Male,Friedrich,Bergius,1,University of Heidelberg,,,,,,,,,,,,,,,,,,,
1931,Chemistry,Germany,Male,Carl,Bosch,1,University of Heidelberg,,,,,,,,,,,,,,,,,,,
1930,Chemistry,Germany,Male,Hans,Fischer,1,Technische Hochschule,,,,,,,,,,,,,,,,,,,
1929,Literature,Germany,Male,Thomas,Mann,1,,,,,,,,,,,,,,,,,,,,
1928,Chemistry,Germany,Male,Adolf,Windaus,1,Goettingen University,,,,,,,,,,,,,,,,,,,
1927,Chemistry,Germany,Male,Heinrich,Wieland,1,Munich University,,,,,,,,,,,,,,,,,,,
1927,Peace,Germany,Male,Aristide,Briand,1,,,,,,,,,,,,,,,,,,,,
1926,Peace,Germany,Male,Sir Austen,Chamberlain,1,,,,,,,,,,,,,,,,,,,,
1925,Chemistry,Germany,Male,Richard,Zsigmondy,1,Goettingen University,,,,,,,,,,,,,,,,,,,
1925,Physics,Germany,Male,James,Franck,1,Goettingen University,,,,,,,,,,,,,,,,,,,
1925,Physics,Germany,Male,Gustav,Hertz,1,Halle University,,,,,,,,,,,,,,,,,,,
1922,Physiology or Medicine,Germany,Male,Otto,Meyerhof,1,Kiel University,,,,,,,,,,,,,,,,,,,
1921,Physics,Germany,Male,Albert,Einstein,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1920,Chemistry,Germany,Male,Walther,Nernst,1,Berlin University,,,,,,,,,,,,,,,,,,,
1919,Physics,Germany,Male,Johannes,Stark,1,Greifswald University,,,,,,,,,,,,,,,,,,,
1918,Physics,Germany,Male,Max,Planck,1,Berlin University,,,,,,,,,,,,,,,,,,,
1918,Chemistry,Germany,Male,Fritz,Haber,1,Max-Planck-Institut,,,,,,,,,,,,,,,,,,,
1915,Chemistry,Germany,Male,Richard,Willstätter,1,Munich University,,,,,,,,,,,,,,,,,,,
1914,Physics,Germany,Male,Max,von Laue,1,Frankfurt-on-the-Main University,,,,,,,,,,,,,,,,,,,
1912,Literature,Germany,Male,Gerhart,Hauptmann,1,,,,,,,,,,,,,,,,,,,,
1911,Physics,Germany,Male,Wilhelm,Wien,1,Würzburg University,,,,,,,,,,,,,,,,,,,
1910,Chemistry,Germany,Male,Otto,Wallach,1,Goettingen University,,,,,,,,,,,,,,,,,,,
1910,Physiology or Medicine,Germany,Male,Albrecht,Kossel,1,University of Heidelberg,,,,,,,,,,,,,,,,,,,
1910,Literature,Germany,Male,Paul,Heyse,1,,,,,,,,,,,,,,,,,,,,
1909,Chemistry,Germany,Male,Wilhelm,Ostwald,1,Leipzig University,,,,,,,,,,,,,,,,,,,
1909,Physics,Germany,Male,Ferdinand,Braun,1,Strasbourg University,,,,,,,,,,,,,,,,,,,
1908,Physiology or Medicine,Germany,Male,Paul,Ehrlich,1,Königliches Institut für experimentelle Therapie,,,,,,,,,,,,,,,,,,,
1908,Literature,Germany,Male,Rudolf,Eucken,1,,,,,,,,,,,,,,,,,,,,
1907,Chemistry,Germany,Male,Eduard,Buchner,1,Landwirtschaftliche Hochschule,,,,,,,,,,,,,,,,,,,
1905,Physiology or Medicine,Germany,Male,Robert,Koch,1,Institute for Infectious Diseases,,,,,,,,,,,,,,,,,,,
1905,Physics,Germany,Male,Philipp,Lenard,1,Kiel University,,,,,,,,,,,,,,,,,,,
1905,Chemistry,Germany,Male,Adolf,von Baeyer,1,Munich University,,,,,,,,,,,,,,,,,,,
1902,Chemistry,Germany,Male,Emil,Fischer,1,Berlin University,,,,,,,,,,,,,,,,,,,
1902,Literature,Germany,Male,Theodor,Mommsen,1,,,,,,,,,,,,,,,,,,,,
1901,Physiology or Medicine,Germany,Male,Emil,von Behring,1,Marburg University,,,,,,,,,,,,,,,,,,,
1901,Physics,Germany,Male,Wilhelm Conrad,Röntgen,1,Munich University,,,,,,,,,,,,,,,,,,,
2001,Peace,Ghana,Male,United Nations,,1,,,,,,,,,,,,,,,,,,,,
1979,Literature,Greece,Male,Odysseus,Elytis,1,,,,,,,,,,,,,,,,,,,,
1963,Literature,Greece,Male,Giorgos,Seferis,1,,,,,,,,,,,,,,,,,,,,
1992,Peace,Guatemala,Female,Aung San Suu,Kyi,1,,,,,,,,,,,,,,,,,,,,
1967,Literature,Guatemala,Male,Miguel Angel,Asturias,1,,,,,,,,,,,,,,,,,,,,
2002,Literature,Hungary,Male,Imre,Kertész,1,,,,,,,,,,,,,,,,,,,,
1943,Chemistry,Hungary,Male,George,de Hevesy,1,Stockholm University,,,,,,,,,,,,,,,,,,,
1937,Physiology or Medicine,Hungary,Male,Albert,Szent-Györgyi,1,Szeged University,,,,,,,,,,,,,,,,,,,
1955,Literature,Iceland,Male,Halldór,Laxness,1,,,,,,,,,,,,,,,,,,,,
2014,Peace,India,Male,Malala,Yousafzai,1,,,,,,,,,,,,,,,,,,,,
1998,Economics,India,Male,Amartya,Sen,1,Trinity College,,,,,,,,,,,,,,,,,,,
1979,Peace,India,Female,Anwar,al-Sadat,1,,,,,,,,,,,,,,,,,,,,
1930,Physics,India,Male,Venkata,Raman,1,Calcutta University,,,,,,,,,,,,,,,,,,,
1913,Literature,India,Male,Rabindranath,Tagore,1,,,,,,,,,,,,,,,,,,,,
2003,Peace,Iran,Female,Jimmy,Carter,1,,,,,,,,,,,,,,,,,,,,
2015,Physiology or Medicine,Ireland,Male,William C.,Campbell,1,Drew University,,,,,,,,,,,,,,,,,,,
1995,Literature,Ireland,Male,Seamus,Heaney,1,,,,,,,,,,,,,,,,,,,,
1974,Peace,Ireland,Male,Eisaku,Sato,1,,,,,,,,,,,,,,,,,,,,
1969,Literature,Ireland,Male,Samuel,Beckett,1,,,,,,,,,,,,,,,,,,,,
1951,Physics,Ireland,Male,Ernest T.S.,Walton,1,Trinity College,,,,,,,,,,,,,,,,,,,
1923,Literature,Ireland,Male,William Butler,Yeats,1,,,,,,,,,,,,,,,,,,,,
2013,Chemistry,Israel,Male,Arieh,Warshel,1,University of Southern California,,,,,,,,,,,,,,,,,,,
2011,Chemistry,Israel,Male,Dan,Shechtman,1,Technion Israel Institute of Technology,,,,,,,,,,,,,,,,,,,
